id,listing_url,host_name,host_since,host_location,host_response_time,host_response_rate,neighbourhood_cleansed,room_type,beds,booked_out_30,booked_out_60,booked_out_90,booked_out_365,price,price_clean,projected_revenue_30,projected_revenue_60,projected_revenue_90,projected_revenue_365
25223720,https://www.airbnb.com/rooms/25223720,Pralene,2018-05-20 00:00:00.000,"Cape Town, South Africa",within an hour,1,Ward 1,Entire home/apt,1,10,10,10,10,"$600,850.00",600850,6008500,6008500,6008500,6008500
24231503,https://www.airbnb.com/rooms/24231503,In Residence,2017-03-28 00:00:00.000,"Cape Town, South Africa",within a few hours,1,Ward 54,Entire home/apt,6,28,41,41,41,"$185,000.00",185000,5180000,7585000,7585000,7585000
33636133,https://www.airbnb.com/rooms/33636133,In Residence,2017-03-28 00:00:00.000,"Cape Town, South Africa",within a few hours,1,Ward 115,Entire home/apt,4,30,60,90,213,"$156,141.00",156141,4684230,9368460,14052690,33258033
47299433,https://www.airbnb.com/rooms/47299433,Nadine,2015-09-20 00:00:00.000,"Cape Town, South Africa",N/A,NULL,Ward 100,Entire home/apt,5,30,60,90,365,"$155,364.00",155364,4660920,9321840,13982760,56707860
29391240,https://www.airbnb.com/rooms/29391240,In Residence,2017-03-28 00:00:00.000,"Cape Town, South Africa",within a few hours,1,Ward 54,Entire home/apt,5,27,57,59,77,"$170,000.00",170000,4590000,9690000,10030000,13090000
NULL,https://www.airbnb.com/rooms/1012232898540176230,Cal,2016-10-11 00:00:00.000,"England, United Kingdom",within an hour,1,Ward 54,Entire home/apt,5,20,50,80,355,"$200,000.00",200000,4000000,10000000,16000000,71000000
NULL,https://www.airbnb.com/rooms/681554327840383451,In Residence,2017-03-28 00:00:00.000,"Cape Town, South Africa",within a few hours,1,Ward 54,Entire home/apt,6,30,60,90,210,"$130,000.00",130000,3900000,7800000,11700000,27300000
24231505,https://www.airbnb.com/rooms/24231505,In Residence,2017-03-28 00:00:00.000,"Cape Town, South Africa",within a few hours,1,Ward 54,Entire home/apt,4,30,60,90,365,"$120,000.00",120000,3600000,7200000,10800000,43800000
NULL,https://www.airbnb.com/rooms/680213838088805567,In Residence,2017-03-28 00:00:00.000,"Cape Town, South Africa",within a few hours,1,Ward 62,Entire home/apt,5,30,60,65,192,"$115,000.00",115000,3450000,6900000,7475000,22080000
NULL,https://www.airbnb.com/rooms/815720160738738633,Cal,2016-10-11 00:00:00.000,"England, United Kingdom",within an hour,1,Ward 74,Entire home/apt,5,25,37,37,221,"$121,429.00",121429,3035725,4492873,4492873,26835809
NULL,https://www.airbnb.com/rooms/862229055921610845,Lisa,2012-09-27 00:00:00.000,"London, United Kingdom",within an hour,1,Ward 54,Entire home/apt,2,30,60,90,97,"$100,000.00",100000,3000000,6000000,9000000,9700000
NULL,https://www.airbnb.com/rooms/943378417240733805,Lavinia,2012-10-20 00:00:00.000,"Cape Town, South Africa",within an hour,1,Ward 54,Entire home/apt,15,28,39,54,66,"$104,857.00",104857,2935996,4089423,5662278,6920562
